,Unnamed: 0,drug_a_name,drug_b_name,cell_line,synergy,fold
2444,BORTEZOMIB_SORAFENIB_COLO320DM,BORTEZOMIB,SORAFENIB,COLO320DM,-19.2673570424,0
2445,BORTEZOMIB_SORAFENIB_DLD1,BORTEZOMIB,SORAFENIB,DLD1,-1.7447988949,4
2446,BORTEZOMIB_SORAFENIB_EFM192B,BORTEZOMIB,SORAFENIB,EFM192B,-11.9380772996,1
2447,BORTEZOMIB_SORAFENIB_ES2,BORTEZOMIB,SORAFENIB,ES2,-23.7451074229,0
2448,BORTEZOMIB_SORAFENIB_HCT116,BORTEZOMIB,SORAFENIB,HCT116,-4.8966532565,2
2449,BORTEZOMIB_SORAFENIB_HT144,BORTEZOMIB,SORAFENIB,HT144,-8.7983933348,0
2450,BORTEZOMIB_SORAFENIB_HT29,BORTEZOMIB,SORAFENIB,HT29,-14.2436971925,3
2451,BORTEZOMIB_SORAFENIB_KPL1,BORTEZOMIB,SORAFENIB,KPL1,-5.8185102296,4
2452,BORTEZOMIB_SORAFENIB_LNCAP,BORTEZOMIB,SORAFENIB,LNCAP,-7.9748406863,4
2453,BORTEZOMIB_SORAFENIB_LOVO,BORTEZOMIB,SORAFENIB,LOVO,-12.1862265094,4
2454,BORTEZOMIB_SORAFENIB_MDAMB436,BORTEZOMIB,SORAFENIB,MDAMB436,-16.9288523923,3
2455,BORTEZOMIB_SORAFENIB_MSTO,BORTEZOMIB,SORAFENIB,MSTO,-20.9058906293,2
2456,BORTEZOMIB_SORAFENIB_NCIH1650,BORTEZOMIB,SORAFENIB,NCIH1650,-11.8976052277,1
2457,BORTEZOMIB_SORAFENIB_NCIH2122,BORTEZOMIB,SORAFENIB,NCIH2122,-14.7945422416,4
2458,BORTEZOMIB_SORAFENIB_NCIH23,BORTEZOMIB,SORAFENIB,NCIH23,-10.4990945232,0
2459,BORTEZOMIB_SORAFENIB_NCIH460,BORTEZOMIB,SORAFENIB,NCIH460,-5.46597089,3
2460,BORTEZOMIB_SORAFENIB_NCIH520,BORTEZOMIB,SORAFENIB,NCIH520,-21.3325054016,2
2461,BORTEZOMIB_SORAFENIB_OCUBM,BORTEZOMIB,SORAFENIB,OCUBM,-2.1251999398,3
2462,BORTEZOMIB_SORAFENIB_OV90,BORTEZOMIB,SORAFENIB,OV90,-12.6723946105,1
2463,BORTEZOMIB_SORAFENIB_OVCAR3,BORTEZOMIB,SORAFENIB,OVCAR3,-27.5087581831,1
2464,BORTEZOMIB_SORAFENIB_PA1,BORTEZOMIB,SORAFENIB,PA1,-10.6637646924,1
2465,BORTEZOMIB_SORAFENIB_RKO,BORTEZOMIB,SORAFENIB,RKO,-2.6312824308,4
2466,BORTEZOMIB_SORAFENIB_RPMI7951,BORTEZOMIB,SORAFENIB,RPMI7951,-20.1578807437,0
2467,BORTEZOMIB_SORAFENIB_SKMEL30,BORTEZOMIB,SORAFENIB,SKMEL30,-3.1182195036,0
2468,BORTEZOMIB_SORAFENIB_SKMES1,BORTEZOMIB,SORAFENIB,SKMES1,-18.675375742,1
2469,BORTEZOMIB_SORAFENIB_SKOV3,BORTEZOMIB,SORAFENIB,SKOV3,0.9509449746,4
2470,BORTEZOMIB_SORAFENIB_SW620,BORTEZOMIB,SORAFENIB,SW620,4.0954145727,3
2471,BORTEZOMIB_SORAFENIB_SW837,BORTEZOMIB,SORAFENIB,SW837,-4.0213985715,4
2472,BORTEZOMIB_SORAFENIB_T47D,BORTEZOMIB,SORAFENIB,T47D,-6.7482862094,3
2473,BORTEZOMIB_SORAFENIB_UACC62,BORTEZOMIB,SORAFENIB,UACC62,-11.4010449609,0
2474,BORTEZOMIB_SORAFENIB_UWB1289BRCA1,BORTEZOMIB,SORAFENIB,UWB1289BRCA1,-9.0047234718,2
2475,BORTEZOMIB_SORAFENIB_UWB1289,BORTEZOMIB,SORAFENIB,UWB1289,-9.9393586243,2
2476,BORTEZOMIB_SORAFENIB_VCAP,BORTEZOMIB,SORAFENIB,VCAP,-20.6807748622,0
2477,BORTEZOMIB_SORAFENIB_ZR751,BORTEZOMIB,SORAFENIB,ZR751,-27.0469457197,1
2478,BORTEZOMIB_TOPOTECAN_A2058,BORTEZOMIB,TOPOTECAN,A2058,-12.1881843756,4
2479,BORTEZOMIB_TOPOTECAN_A2780,BORTEZOMIB,TOPOTECAN,A2780,-2.5878997349,4
2480,BORTEZOMIB_TOPOTECAN_A375,BORTEZOMIB,TOPOTECAN,A375,-52.7833151416,4
2481,BORTEZOMIB_TOPOTECAN_A427,BORTEZOMIB,TOPOTECAN,A427,-0.0054900453,3
2482,BORTEZOMIB_TOPOTECAN_CAOV3,BORTEZOMIB,TOPOTECAN,CAOV3,-3.8963995755,1
2483,BORTEZOMIB_TOPOTECAN_COLO320DM,BORTEZOMIB,TOPOTECAN,COLO320DM,-11.9653442483,4
2484,BORTEZOMIB_TOPOTECAN_DLD1,BORTEZOMIB,TOPOTECAN,DLD1,9.2112571726,0
2485,BORTEZOMIB_TOPOTECAN_EFM192B,BORTEZOMIB,TOPOTECAN,EFM192B,-23.4432987169,4
2486,BORTEZOMIB_TOPOTECAN_ES2,BORTEZOMIB,TOPOTECAN,ES2,-21.458330338,0
2487,BORTEZOMIB_TOPOTECAN_HCT116,BORTEZOMIB,TOPOTECAN,HCT116,-2.1976185632,3
2488,BORTEZOMIB_TOPOTECAN_HT144,BORTEZOMIB,TOPOTECAN,HT144,-5.6845280502,2
2489,BORTEZOMIB_TOPOTECAN_HT29,BORTEZOMIB,TOPOTECAN,HT29,-18.1815799205,1
2490,BORTEZOMIB_TOPOTECAN_KPL1,BORTEZOMIB,TOPOTECAN,KPL1,7.565814879,1
2491,BORTEZOMIB_TOPOTECAN_LNCAP,BORTEZOMIB,TOPOTECAN,LNCAP,-16.8464289021,2
2492,BORTEZOMIB_TOPOTECAN_LOVO,BORTEZOMIB,TOPOTECAN,LOVO,0.5583294375,3
2493,BORTEZOMIB_TOPOTECAN_MDAMB436,BORTEZOMIB,TOPOTECAN,MDAMB436,0.9905856993,3
2494,BORTEZOMIB_TOPOTECAN_MSTO,BORTEZOMIB,TOPOTECAN,MSTO,21.7663740853,0
2495,BORTEZOMIB_TOPOTECAN_NCIH1650,BORTEZOMIB,TOPOTECAN,NCIH1650,-37.3530637488,4
2496,BORTEZOMIB_TOPOTECAN_NCIH2122,BORTEZOMIB,TOPOTECAN,NCIH2122,-8.7765820691,4
2497,BORTEZOMIB_TOPOTECAN_NCIH23,BORTEZOMIB,TOPOTECAN,NCIH23,-17.177115561,0
2498,BORTEZOMIB_TOPOTECAN_NCIH460,BORTEZOMIB,TOPOTECAN,NCIH460,-33.8197498256,1
2499,BORTEZOMIB_TOPOTECAN_NCIH520,BORTEZOMIB,TOPOTECAN,NCIH520,-22.4500513596,3
2500,BORTEZOMIB_TOPOTECAN_OCUBM,BORTEZOMIB,TOPOTECAN,OCUBM,-8.4810726356,1
2501,BORTEZOMIB_TOPOTECAN_OV90,BORTEZOMIB,TOPOTECAN,OV90,-12.2042724832,0
2502,BORTEZOMIB_TOPOTECAN_OVCAR3,BORTEZOMIB,TOPOTECAN,OVCAR3,-15.350021766,3
2503,BORTEZOMIB_TOPOTECAN_PA1,BORTEZOMIB,TOPOTECAN,PA1,-13.7875959693,4
2504,BORTEZOMIB_TOPOTECAN_RKO,BORTEZOMIB,TOPOTECAN,RKO,-3.2109014177,1
2505,BORTEZOMIB_TOPOTECAN_RPMI7951,BORTEZOMIB,TOPOTECAN,RPMI7951,-6.338895574,1
2506,BORTEZOMIB_TOPOTECAN_SKMEL30,BORTEZOMIB,TOPOTECAN,SKMEL30,-4.762114246,1
2507,BORTEZOMIB_TOPOTECAN_SKMES1,BORTEZOMIB,TOPOTECAN,SKMES1,-28.9427255545,2
2508,BORTEZOMIB_TOPOTECAN_SKOV3,BORTEZOMIB,TOPOTECAN,SKOV3,-10.785589607,1
2509,BORTEZOMIB_TOPOTECAN_SW620,BORTEZOMIB,TOPOTECAN,SW620,7.7471415942,2
2510,BORTEZOMIB_TOPOTECAN_SW837,BORTEZOMIB,TOPOTECAN,SW837,5.6874713997,4
2511,BORTEZOMIB_TOPOTECAN_T47D,BORTEZOMIB,TOPOTECAN,T47D,-0.6820788916,3
2512,BORTEZOMIB_TOPOTECAN_UACC62,BORTEZOMIB,TOPOTECAN,UACC62,-1.4980088864,0
2513,BORTEZOMIB_TOPOTECAN_UWB1289BRCA1,BORTEZOMIB,TOPOTECAN,UWB1289BRCA1,-1.8774829778,2
2514,BORTEZOMIB_TOPOTECAN_UWB1289,BORTEZOMIB,TOPOTECAN,UWB1289,-8.5351846622,3
2515,BORTEZOMIB_TOPOTECAN_VCAP,BORTEZOMIB,TOPOTECAN,VCAP,-13.3192031697,1
2516,BORTEZOMIB_TOPOTECAN_ZR751,BORTEZOMIB,TOPOTECAN,ZR751,-22.4135303565,0
4404,DASATINIB_SORAFENIB_A2058,DASATINIB,SORAFENIB,A2058,36.3294355627,3
4405,DASATINIB_SORAFENIB_A2780,DASATINIB,SORAFENIB,A2780,26.1821574384,0
4406,DASATINIB_SORAFENIB_A375,DASATINIB,SORAFENIB,A375,29.9038525247,4
4407,DASATINIB_SORAFENIB_A427,DASATINIB,SORAFENIB,A427,27.8530400741,1
4408,DASATINIB_SORAFENIB_CAOV3,DASATINIB,SORAFENIB,CAOV3,5.1456012913,1
4409,DASATINIB_SORAFENIB_COLO320DM,DASATINIB,SORAFENIB,COLO320DM,4.4922937608,3
4410,DASATINIB_SORAFENIB_DLD1,DASATINIB,SORAFENIB,DLD1,21.4864698925,1
4411,DASATINIB_SORAFENIB_EFM192B,DASATINIB,SORAFENIB,EFM192B,23.4517364116,4
4412,DASATINIB_SORAFENIB_ES2,DASATINIB,SORAFENIB,ES2,14.0746018496,4
4413,DASATINIB_SORAFENIB_HCT116,DASATINIB,SORAFENIB,HCT116,29.6769097639,4
4414,DASATINIB_SORAFENIB_HT144,DASATINIB,SORAFENIB,HT144,5.8619719657,4
4415,DASATINIB_SORAFENIB_HT29,DASATINIB,SORAFENIB,HT29,22.0320942353,1
4416,DASATINIB_SORAFENIB_KPL1,DASATINIB,SORAFENIB,KPL1,3.052122869,1
4417,DASATINIB_SORAFENIB_LNCAP,DASATINIB,SORAFENIB,LNCAP,5.7797615954,1
4418,DASATINIB_SORAFENIB_LOVO,DASATINIB,SORAFENIB,LOVO,12.2339625991,2
4419,DASATINIB_SORAFENIB_MDAMB436,DASATINIB,SORAFENIB,MDAMB436,14.2357351099,4
4420,DASATINIB_SORAFENIB_MSTO,DASATINIB,SORAFENIB,MSTO,-17.6473527625,4
4421,DASATINIB_SORAFENIB_NCIH1650,DASATINIB,SORAFENIB,NCIH1650,23.6940205053,4
4422,DASATINIB_SORAFENIB_NCIH2122,DASATINIB,SORAFENIB,NCIH2122,9.2636785051,0
4423,DASATINIB_SORAFENIB_NCIH23,DASATINIB,SORAFENIB,NCIH23,25.3715193712,1
4424,DASATINIB_SORAFENIB_NCIH460,DASATINIB,SORAFENIB,NCIH460,24.9781502813,2
4425,DASATINIB_SORAFENIB_NCIH520,DASATINIB,SORAFENIB,NCIH520,30.5125964288,2
4426,DASATINIB_SORAFENIB_OCUBM,DASATINIB,SORAFENIB,OCUBM,10.344650663,3
4427,DASATINIB_SORAFENIB_OV90,DASATINIB,SORAFENIB,OV90,14.9135090205,1
4428,DASATINIB_SORAFENIB_OVCAR3,DASATINIB,SORAFENIB,OVCAR3,25.2881643533,4
4429,DASATINIB_SORAFENIB_PA1,DASATINIB,SORAFENIB,PA1,17.1073822421,1
4430,DASATINIB_SORAFENIB_RKO,DASATINIB,SORAFENIB,RKO,18.209506037,3
4431,DASATINIB_SORAFENIB_RPMI7951,DASATINIB,SORAFENIB,RPMI7951,1.4557371133,4
4432,DASATINIB_SORAFENIB_SKMEL30,DASATINIB,SORAFENIB,SKMEL30,-17.4544337358,0
4433,DASATINIB_SORAFENIB_SKMES1,DASATINIB,SORAFENIB,SKMES1,-5.1905806644,1
4434,DASATINIB_SORAFENIB_SKOV3,DASATINIB,SORAFENIB,SKOV3,10.2805244942,1
4435,DASATINIB_SORAFENIB_SW620,DASATINIB,SORAFENIB,SW620,26.6713828326,1
4436,DASATINIB_SORAFENIB_SW837,DASATINIB,SORAFENIB,SW837,15.6421966193,2
4437,DASATINIB_SORAFENIB_T47D,DASATINIB,SORAFENIB,T47D,2.9018230047,3
4438,DASATINIB_SORAFENIB_UACC62,DASATINIB,SORAFENIB,UACC62,12.669145279,2
4439,DASATINIB_SORAFENIB_UWB1289BRCA1,DASATINIB,SORAFENIB,UWB1289BRCA1,3.677097608,0
4440,DASATINIB_SORAFENIB_UWB1289,DASATINIB,SORAFENIB,UWB1289,7.3757228651,1
4441,DASATINIB_SORAFENIB_VCAP,DASATINIB,SORAFENIB,VCAP,11.4105865945,2
4442,DASATINIB_SORAFENIB_ZR751,DASATINIB,SORAFENIB,ZR751,21.3493315306,2
4443,DASATINIB_TOPOTECAN_A2058,DASATINIB,TOPOTECAN,A2058,6.4764816551,3
4444,DASATINIB_TOPOTECAN_A2780,DASATINIB,TOPOTECAN,A2780,33.4467775684,4
4445,DASATINIB_TOPOTECAN_A375,DASATINIB,TOPOTECAN,A375,-2.776096294,4
4446,DASATINIB_TOPOTECAN_A427,DASATINIB,TOPOTECAN,A427,57.6444936961,1
4447,DASATINIB_TOPOTECAN_CAOV3,DASATINIB,TOPOTECAN,CAOV3,11.107890136,0
4448,DASATINIB_TOPOTECAN_COLO320DM,DASATINIB,TOPOTECAN,COLO320DM,-1.0158839226,3
4449,DASATINIB_TOPOTECAN_DLD1,DASATINIB,TOPOTECAN,DLD1,-0.4198678226,4
4450,DASATINIB_TOPOTECAN_EFM192B,DASATINIB,TOPOTECAN,EFM192B,-0.7998963009,3
4451,DASATINIB_TOPOTECAN_ES2,DASATINIB,TOPOTECAN,ES2,-15.0485020724,0
4452,DASATINIB_TOPOTECAN_HCT116,DASATINIB,TOPOTECAN,HCT116,6.4943141495,2
4453,DASATINIB_TOPOTECAN_HT144,DASATINIB,TOPOTECAN,HT144,-31.7610064048,2
4454,DASATINIB_TOPOTECAN_HT29,DASATINIB,TOPOTECAN,HT29,6.5374905169,3
4455,DASATINIB_TOPOTECAN_KPL1,DASATINIB,TOPOTECAN,KPL1,24.7136837071,0
4456,DASATINIB_TOPOTECAN_LNCAP,DASATINIB,TOPOTECAN,LNCAP,6.8413779693,0
4457,DASATINIB_TOPOTECAN_LOVO,DASATINIB,TOPOTECAN,LOVO,27.2002480643,1
4458,DASATINIB_TOPOTECAN_MDAMB436,DASATINIB,TOPOTECAN,MDAMB436,-1.4636687007,2
4459,DASATINIB_TOPOTECAN_MSTO,DASATINIB,TOPOTECAN,MSTO,35.8433131488,0
4460,DASATINIB_TOPOTECAN_NCIH1650,DASATINIB,TOPOTECAN,NCIH1650,29.1173110153,0
4461,DASATINIB_TOPOTECAN_NCIH2122,DASATINIB,TOPOTECAN,NCIH2122,-29.805065273,1
4462,DASATINIB_TOPOTECAN_NCIH23,DASATINIB,TOPOTECAN,NCIH23,-14.4883275315,1
4463,DASATINIB_TOPOTECAN_NCIH460,DASATINIB,TOPOTECAN,NCIH460,-27.4238327314,1
4464,DASATINIB_TOPOTECAN_NCIH520,DASATINIB,TOPOTECAN,NCIH520,62.1900136572,2
4465,DASATINIB_TOPOTECAN_OCUBM,DASATINIB,TOPOTECAN,OCUBM,5.3102897213,1
4466,DASATINIB_TOPOTECAN_OV90,DASATINIB,TOPOTECAN,OV90,9.5804858589,3
4467,DASATINIB_TOPOTECAN_OVCAR3,DASATINIB,TOPOTECAN,OVCAR3,58.2364374141,2
4468,DASATINIB_TOPOTECAN_PA1,DASATINIB,TOPOTECAN,PA1,5.6801756699,3
4469,DASATINIB_TOPOTECAN_RKO,DASATINIB,TOPOTECAN,RKO,19.9852484057,1
4470,DASATINIB_TOPOTECAN_RPMI7951,DASATINIB,TOPOTECAN,RPMI7951,1.7099416191,1
4471,DASATINIB_TOPOTECAN_SKMEL30,DASATINIB,TOPOTECAN,SKMEL30,-18.6428451716,0
4472,DASATINIB_TOPOTECAN_SKMES1,DASATINIB,TOPOTECAN,SKMES1,-19.5867015591,1
4473,DASATINIB_TOPOTECAN_SKOV3,DASATINIB,TOPOTECAN,SKOV3,2.199262074,3
4474,DASATINIB_TOPOTECAN_SW620,DASATINIB,TOPOTECAN,SW620,51.3420780502,3
4475,DASATINIB_TOPOTECAN_SW837,DASATINIB,TOPOTECAN,SW837,22.8279849963,4
4476,DASATINIB_TOPOTECAN_T47D,DASATINIB,TOPOTECAN,T47D,8.7199128981,0
4477,DASATINIB_TOPOTECAN_UACC62,DASATINIB,TOPOTECAN,UACC62,-13.9653221727,2
4478,DASATINIB_TOPOTECAN_UWB1289BRCA1,DASATINIB,TOPOTECAN,UWB1289BRCA1,4.4796726536,3
4479,DASATINIB_TOPOTECAN_UWB1289,DASATINIB,TOPOTECAN,UWB1289,2.9371261005,3
4480,DASATINIB_TOPOTECAN_VCAP,DASATINIB,TOPOTECAN,VCAP,7.104908686,2
4481,DASATINIB_TOPOTECAN_ZR751,DASATINIB,TOPOTECAN,ZR751,-0.0467316861,1
4599,DEXAMETHASONE_BORTEZOMIB_A2058,DEXAMETHASONE,BORTEZOMIB,A2058,-1.8765546423,4
4600,DEXAMETHASONE_BORTEZOMIB_A2780,DEXAMETHASONE,BORTEZOMIB,A2780,-13.5476307966,2
4601,DEXAMETHASONE_BORTEZOMIB_A375,DEXAMETHASONE,BORTEZOMIB,A375,19.5398302616,4
4602,DEXAMETHASONE_BORTEZOMIB_A427,DEXAMETHASONE,BORTEZOMIB,A427,6.1325345963,2
4603,DEXAMETHASONE_BORTEZOMIB_CAOV3,DEXAMETHASONE,BORTEZOMIB,CAOV3,-13.4480229588,2
4604,DEXAMETHASONE_BORTEZOMIB_COLO320DM,DEXAMETHASONE,BORTEZOMIB,COLO320DM,5.3245771027,0
4605,DEXAMETHASONE_BORTEZOMIB_DLD1,DEXAMETHASONE,BORTEZOMIB,DLD1,11.6771234999,0
4606,DEXAMETHASONE_BORTEZOMIB_EFM192B,DEXAMETHASONE,BORTEZOMIB,EFM192B,-20.8834105802,2
4607,DEXAMETHASONE_BORTEZOMIB_ES2,DEXAMETHASONE,BORTEZOMIB,ES2,-0.7663841457,4
4608,DEXAMETHASONE_BORTEZOMIB_HCT116,DEXAMETHASONE,BORTEZOMIB,HCT116,9.5265251278,1
4609,DEXAMETHASONE_BORTEZOMIB_HT144,DEXAMETHASONE,BORTEZOMIB,HT144,-13.1619824765,2
4610,DEXAMETHASONE_BORTEZOMIB_HT29,DEXAMETHASONE,BORTEZOMIB,HT29,-15.1979211389,3
4611,DEXAMETHASONE_BORTEZOMIB_KPL1,DEXAMETHASONE,BORTEZOMIB,KPL1,14.3451190748,0
4612,DEXAMETHASONE_BORTEZOMIB_LNCAP,DEXAMETHASONE,BORTEZOMIB,LNCAP,9.2018863266,3
4613,DEXAMETHASONE_BORTEZOMIB_LOVO,DEXAMETHASONE,BORTEZOMIB,LOVO,8.3804290604,2
4614,DEXAMETHASONE_BORTEZOMIB_MDAMB436,DEXAMETHASONE,BORTEZOMIB,MDAMB436,-0.8230284318,1
4615,DEXAMETHASONE_BORTEZOMIB_MSTO,DEXAMETHASONE,BORTEZOMIB,MSTO,66.7194974971,1
4616,DEXAMETHASONE_BORTEZOMIB_NCIH1650,DEXAMETHASONE,BORTEZOMIB,NCIH1650,-15.4808506715,0
4617,DEXAMETHASONE_BORTEZOMIB_NCIH2122,DEXAMETHASONE,BORTEZOMIB,NCIH2122,13.2349831399,2
4618,DEXAMETHASONE_BORTEZOMIB_NCIH23,DEXAMETHASONE,BORTEZOMIB,NCIH23,-2.3219928681,2
4619,DEXAMETHASONE_BORTEZOMIB_NCIH460,DEXAMETHASONE,BORTEZOMIB,NCIH460,27.1788265214,3
4620,DEXAMETHASONE_BORTEZOMIB_NCIH520,DEXAMETHASONE,BORTEZOMIB,NCIH520,-20.5184566893,4
4621,DEXAMETHASONE_BORTEZOMIB_OCUBM,DEXAMETHASONE,BORTEZOMIB,OCUBM,9.6619062273,4
4622,DEXAMETHASONE_BORTEZOMIB_OV90,DEXAMETHASONE,BORTEZOMIB,OV90,-9.7829860391,3
4623,DEXAMETHASONE_BORTEZOMIB_OVCAR3,DEXAMETHASONE,BORTEZOMIB,OVCAR3,-11.8314143394,2
4624,DEXAMETHASONE_BORTEZOMIB_PA1,DEXAMETHASONE,BORTEZOMIB,PA1,8.1992572728,0
4625,DEXAMETHASONE_BORTEZOMIB_RKO,DEXAMETHASONE,BORTEZOMIB,RKO,18.8238761256,4
4626,DEXAMETHASONE_BORTEZOMIB_RPMI7951,DEXAMETHASONE,BORTEZOMIB,RPMI7951,-19.6531103253,3
4627,DEXAMETHASONE_BORTEZOMIB_SKMEL30,DEXAMETHASONE,BORTEZOMIB,SKMEL30,8.8845957548,3
4628,DEXAMETHASONE_BORTEZOMIB_SKMES1,DEXAMETHASONE,BORTEZOMIB,SKMES1,-11.4348035944,4
4629,DEXAMETHASONE_BORTEZOMIB_SKOV3,DEXAMETHASONE,BORTEZOMIB,SKOV3,3.520986426,2
4630,DEXAMETHASONE_BORTEZOMIB_SW620,DEXAMETHASONE,BORTEZOMIB,SW620,13.0324241434,0
4631,DEXAMETHASONE_BORTEZOMIB_SW837,DEXAMETHASONE,BORTEZOMIB,SW837,-2.0159246927,1
4632,DEXAMETHASONE_BORTEZOMIB_T47D,DEXAMETHASONE,BORTEZOMIB,T47D,-9.1572771183,3
4633,DEXAMETHASONE_BORTEZOMIB_UACC62,DEXAMETHASONE,BORTEZOMIB,UACC62,-7.679437184,3
4634,DEXAMETHASONE_BORTEZOMIB_UWB1289BRCA1,DEXAMETHASONE,BORTEZOMIB,UWB1289BRCA1,-3.8680898377,1
4635,DEXAMETHASONE_BORTEZOMIB_UWB1289,DEXAMETHASONE,BORTEZOMIB,UWB1289,-7.7727486104,1
4636,DEXAMETHASONE_BORTEZOMIB_VCAP,DEXAMETHASONE,BORTEZOMIB,VCAP,-0.6124008304,0
4637,DEXAMETHASONE_BORTEZOMIB_ZR751,DEXAMETHASONE,BORTEZOMIB,ZR751,5.2988623857,2
4638,DEXAMETHASONE_DASATINIB_A2058,DEXAMETHASONE,DASATINIB,A2058,-0.1787357598,2
4639,DEXAMETHASONE_DASATINIB_A2780,DEXAMETHASONE,DASATINIB,A2780,19.8197660146,2
4640,DEXAMETHASONE_DASATINIB_A375,DEXAMETHASONE,DASATINIB,A375,38.483302913,1
4641,DEXAMETHASONE_DASATINIB_A427,DEXAMETHASONE,DASATINIB,A427,0.3863934638,1
